Program,Year,State,Commodity, ACRES HARVESTED, ACRES PLANTED," PRODUCTION, MEASURED IN $"
1,2016,IOWA,CORN,0.0,0.0,9043650000.0
SURVEY,2016,ALABAMA,CORN,315000.0,0.0,137214000.0
SURVEY,2016,ALABAMA,COTTON,343000.0,345000.0,277037000.0
SURVEY,2016,ALABAMA,OATS,20000.0,50000.0,4290000.0
SURVEY,2016,ALABAMA,PEANUTS,172000.0,175000.0,121982000.0
SURVEY,2016,ALABAMA,SOYBEANS,410000.0,420000.0,128970000.0
SURVEY,2016,ALABAMA,WHEAT,170000.0,230000.0,52955000.0
SURVEY,2016,ALASKA,BARLEY,4700.0,5000.0,1208000.0
SURVEY,2016,ALASKA,OATS,1200.0,2000.0,274000.0
SURVEY,2016,ARIZONA,BARLEY,16000.0,17000.0,8315000.0
SURVEY,2016,ARIZONA,CORN,50000.0,0.0,50848000.0
SURVEY,2016,ARIZONA,COTTON,129000.0,134500.0,33258000.0
SURVEY,2016,ARIZONA,WHEAT,103000.0,111000.0,66459000.0
SURVEY,2016,ARKANSAS,CORN,745000.0,0.0,470088000.0
SURVEY,2016,ARKANSAS,COTTON,375000.0,380000.0,333667000.0
SURVEY,2016,ARKANSAS,OATS,8000.0,11000.0,1256000.0
SURVEY,2016,ARKANSAS,PEANUTS,23000.0,24000.0,20424000.0
SURVEY,2016,ARKANSAS,RICE,1521000.0,1546000.0,988898000.0
SURVEY,2016,ARKANSAS,SORGHUM,44000.0,47000.0,8994000.0
SURVEY,2016,ARKANSAS,SOYBEANS,3090000.0,3130000.0,1427611000.0
SURVEY,2016,ARKANSAS,WHEAT,115000.0,195000.0,28939000.0
SURVEY,2016,CALIFORNIA,BARLEY,60000.0,85000.0,19350000.0
SURVEY,2016,CALIFORNIA,BEANS,49000.0,50000.0,71997000.0
SURVEY,2016,CALIFORNIA,CORN,100000.0,0.0,86765000.0
SURVEY,2016,CALIFORNIA,COTTON,216000.0,218000.0,77556000.0
SURVEY,2016,CALIFORNIA,OATS,11000.0,110000.0,2717000.0
SURVEY,2016,CALIFORNIA,RICE,536000.0,541000.0,677734000.0
SURVEY,2016,CALIFORNIA,SAFFLOWER,61500.0,62000.0,29766000.0
SURVEY,2016,CALIFORNIA,SUNFLOWER,46000.0,46600.0,14249000.0
SURVEY,2016,CALIFORNIA,WHEAT,217000.0,480000.0,88401000.0
SURVEY,2016,COLORADO,BARLEY,75000.0,80000.0,51374000.0
SURVEY,2016,COLORADO,BEANS,42500.0,46000.0,22557000.0
