Program,Year,State,Commodity,Data Item,Value
SURVEY,2016,ALABAMA,CORN,"CORN, GRAIN - ACRES HARVESTED","315,000"
SURVEY,2016,ALABAMA,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","137,214,000"
SURVEY,2016,ALABAMA,COTTON,COTTON - ACRES HARVESTED,"343,000"
SURVEY,2016,ALABAMA,COTTON,COTTON - ACRES PLANTED,"345,000"
SURVEY,2016,ALABAMA,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $","277,037,000"
SURVEY,2016,ALABAMA,OATS,OATS - ACRES HARVESTED,"20,000"
SURVEY,2016,ALABAMA,OATS,OATS - ACRES PLANTED,"50,000"
SURVEY,2016,ALABAMA,OATS,"OATS - PRODUCTION, MEASURED IN $","4,290,000"
SURVEY,2016,ALABAMA,PEANUTS,PEANUTS - ACRES HARVESTED,"172,000"
SURVEY,2016,ALABAMA,PEANUTS,PEANUTS - ACRES PLANTED,"175,000"
SURVEY,2016,ALABAMA,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN $","121,982,000"
SURVEY,2016,ALABAMA,SOYBEANS,SOYBEANS - ACRES HARVESTED,"410,000"
SURVEY,2016,ALABAMA,SOYBEANS,SOYBEANS - ACRES PLANTED,"420,000"
SURVEY,2016,ALABAMA,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","128,970,000"
SURVEY,2016,ALABAMA,WHEAT,WHEAT - ACRES HARVESTED,"170,000"
SURVEY,2016,ALABAMA,WHEAT,WHEAT - ACRES PLANTED,"230,000"
SURVEY,2016,ALABAMA,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","52,955,000"
SURVEY,2016,ALASKA,BARLEY,BARLEY - ACRES HARVESTED,"4,700"
SURVEY,2016,ALASKA,BARLEY,BARLEY - ACRES PLANTED,"5,000"
SURVEY,2016,ALASKA,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $","1,208,000"
SURVEY,2016,ALASKA,OATS,OATS - ACRES HARVESTED,"1,200"
SURVEY,2016,ALASKA,OATS,OATS - ACRES PLANTED,"2,000"
SURVEY,2016,ALASKA,OATS,"OATS - PRODUCTION, MEASURED IN $","274,000"
SURVEY,2016,ARIZONA,BARLEY,BARLEY - ACRES HARVESTED,"16,000"
SURVEY,2016,ARIZONA,BARLEY,BARLEY - ACRES PLANTED,"17,000"
SURVEY,2016,ARIZONA,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $","8,315,000"
SURVEY,2016,ARIZONA,CORN,"CORN, GRAIN - ACRES HARVESTED","50,000"
SURVEY,2016,ARIZONA,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","50,848,000"
SURVEY,2016,ARIZONA,COTTON,COTTON - ACRES HARVESTED,"129,000"
SURVEY,2016,ARIZONA,COTTON,COTTON - ACRES PLANTED,"134,500"
SURVEY,2016,ARIZONA,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $","33,258,000"
SURVEY,2016,ARIZONA,WHEAT,WHEAT - ACRES HARVESTED,"103,000"
SURVEY,2016,ARIZONA,WHEAT,WHEAT - ACRES PLANTED,"111,000"
SURVEY,2016,ARIZONA,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","66,459,000"
SURVEY,2016,ARKANSAS,CORN,"CORN, GRAIN - ACRES HARVESTED","745,000"
SURVEY,2016,ARKANSAS,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","470,088,000"
SURVEY,2016,ARKANSAS,COTTON,COTTON - ACRES HARVESTED,"375,000"
SURVEY,2016,ARKANSAS,COTTON,COTTON - ACRES PLANTED,"380,000"
SURVEY,2016,ARKANSAS,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $","333,667,000"
SURVEY,2016,ARKANSAS,OATS,OATS - ACRES HARVESTED,"8,000"
SURVEY,2016,ARKANSAS,OATS,OATS - ACRES PLANTED,"11,000"
SURVEY,2016,ARKANSAS,OATS,"OATS - PRODUCTION, MEASURED IN $","1,256,000"
SURVEY,2016,ARKANSAS,PEANUTS,PEANUTS - ACRES HARVESTED,"23,000"
SURVEY,2016,ARKANSAS,PEANUTS,PEANUTS - ACRES PLANTED,"24,000"
SURVEY,2016,ARKANSAS,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN $","20,424,000"
SURVEY,2016,ARKANSAS,RICE,RICE - ACRES HARVESTED,"1,521,000"
